food_name_in_french,energy_in_kJ_for_100g,energy_in_kcal_for_100g,energy_with_jones_and_fibers_in_kJ_for_100g,energy_with_jones_and_fibers_in_kcal_for_100g,proteins_with_jones_in_g_for_100g,carbohydrates_in_g_for_100g,fats_in_g_for_100g,water_in_g_for_100g
Feuilleté salé (aliment moyen),1260.0,301.0,1260.0,301.0,,,,45.0
"Bouchée à la reine, garnie (aliment moyen)",1040.0,249.0,1040.0,249.0,,,,55.0
"Nem ou Pâté impérial, au poulet, préemballé, cuit",827.0,197.0,827.0,197.0,,,,
"Nem ou Pâté impérial, au porc, préemballé, cuit",991.0,237.0,991.0,237.0,,,,
"Nem ou Pâté impérial, aux crevettes et/ou au crabe, préemballé, cuit",892.0,213.0,892.0,213.0,,,,55.0
"Croissant au jambon fromage, préemballé",1080.0,258.0,1080.0,258.0,,22.0,,
"Avocat, pulpe, cru",843.0,205.0,843.0,205.0,,,,
"Bette ou blette, crue",,,,,1.0,,,
"Carotte, crue",169.0,,169.0,,,,,
"Champignon, tout type, cru",,,,,,,,
"Salade ou chicorée frisée, crue",,,,,,,,
"Chou rouge, cru",126.0,30.0,126.0,30.0,,,,
"Chou-fleur, cru",109.0,,109.0,,,,,
"Concombre, pulpe et peau, cru",,,,,,,,96.0
"Courgette, pulpe et peau, crue",,,,,,,,
"Cresson de fontaine, cru",,,,,,,,
"Céleri branche, cru",,,,,,,,
"Endive, crue",,,,,,,,
"Fenouil, cru",,,,,1.0,,,
"Laitue, crue",,,,,,,,
"Oignon, cru",,,,,,,,
"Pissenlit, cru",,,,,,,,
"Poireau, cru",136.0,,136.0,,,,,
"Poivron, vert, jaune ou rouge, cru",,,,,,,,
"Potiron, cru",,,,,1.0,,,
"Radis rouge, cru",,,,,,,,
"Tomate, crue",,,,,,,,
"Artichaut, cru",,,,,,,,
"Aubergine, crue",,,,,,,,
"Cardon, cru",,,,,,,,94.0
"Céleri-rave, cru",122.0,,122.0,,,,,
"Champignon de Paris ou champignon de couche, cru",118.0,28.0,118.0,28.0,,,,
"Brocoli, cru",,,,,,,,
"Chou de Bruxelles, cru",,,,,,,,85.0
"Épinard, cru",,,,,,,,
"Haricot vert, cru",,,,,,,,
"Navet, pelé, cru",,,,,,,,
"Chou-rave, cru",,,,,,,,91.0
"Chou vert, cru",,,,,,,,
"Haricot vert, surgelé, cru",142.0,34.0,142.0,34.0,,,,
"Petits pois, crus",,,,,,7.0,,
"Asperge, pelée, crue",,,,,,,,
"Chou-fleur, surgelé, cru",,,,,,,,
"Épinard, surgelé, cru",,,,,,,,
"Petits pois, surgelés, crus",,,,,,,,
"Poivron vert, cru",109.0,26.0,109.0,26.0,,,,93.0
"Poivron rouge, cru",153.0,,153.0,,,,,
"Radis noir, cru",123.0,,123.0,,,,,
"Scarole, crue",,,,,,,,
"Betterave rouge, crue",,,,,,,,
"Échalote, crue",269.0,,269.0,,,,,
"Mâche, crue",,,,,2.0,,,
"Légumes, mélange surgelé, crus",271.0,,271.0,,,,,
"Champignon, chanterelle ou girolle, crue",137.0,,137.0,,,,,
"Champignon, morille, crue",102.0,,102.0,,,,,
"Champignon, truffe noire, crue",,,,,,,,
"Maïs doux, en épis, surgelé, cru",,,,,,17.0,,
"Oseille, crue",,,,,,,,93.0
"Champignon, pleurote, crue",107.0,,107.0,,,,,
"Chou blanc, cru",153.0,,153.0,,,,,90.0
"Tomate verte, crue",,,,,,4.0,,93.0
"Batavia, crue",,,,,,,,
"Haricot de Lima, cru",444.0,105.0,444.0,105.0,,,,
"Courge musquée, pulpe, crue",,,,,,,,
"Potimarron, pulpe, cru",,,,,,,,
"Courge hokkaïdo, pulpe, crue",,,,,,,,
"Courge melonnette, pulpe, crue",,,,,,,,
"Courge doubeurre (butternut), pulpe, crue",,,,,1.0,,,
"Courge, crue",,,,,,,,
"Courge spaghetti, pulpe, crue",,,,,,,,
"Piment, cru",,,,,,,,
"Champignon, oronge vraie, crue",,,,,2.0,,,
"Champignon, cèpe, cru",133.0,,133.0,,,,,
"Champignon, rosé des prés, cru",106.0,,106.0,,,,,
"Chicorée rouge, crue",,,,,,,,94.0
"Chicorée verte, crue",,,,,,,,
"Citrouille, pulpe, crue",,,,,1.0,6.0,,
"Chou chinois ou pak-choi ou pé-tsai, cru",,,,,,,,
"Poivron jaune, cru",130.0,,130.0,,,,,
"Laitue romaine, crue",,,,,,,,
"Tomate cerise, crue",142.0,,142.0,,,,,
"Pois mange-tout ou pois gourmand, cru",,,,,,,,
"Panais, cru",245.0,,245.0,,,,,
"Haricot mungo germé ou pousse de ""soja"", cru",,,,,,,,
"Tomate côtelée ou coeur de boeuf, crue",,,,,,,,
"Haricot beurre, cru",,,,,,,,
"Salsifis noir, ou scorsonère d'Espagne, cru",,,,,,,,77.0
"Bambou, pousse, crue",148.0,,148.0,,,,,
"Cresson alénois, cru",,,,,,,,
"Laitue iceberg, crue",,,,,,,,
"Rutabaga, cru",,,,,,,,
"Haricot beurre, surgelé, cru",,,,,2.0,,,
"Brocoli, surgelé, cru",,,,,,,,
"Chou de Bruxelles, surgelé, cru",,,,,,,,
"Carotte, surgelée, crue",,,,,,,,
"Concombre, pulpe, cru",,,,,,,,
"Petits pois et carottes, surgelés, crus",,,,,,,,
"Roquette, crue",,,,,,,,
"Chou frisé, cru",,,,,,,,
"Champignon de Paris ou champignon de couche, surgelé, cru",,,,,,,,
"Courgette, pulpe et peau, surgelée, crue",,,,,,,,
"Crosne, surgelé, cru",,,,,,,0.0,
"Artichaut, fond, surgelé, cru",,,,,,,,
"Maïs doux, surgelé, cru",,,,,,,,
"Navet, surgelé, cru",,,,,,2.0,,
"Oignon, surgelé, cru",,,,,1.0,,,
"Poireau, surgelé, cru",112.0,,112.0,,,,,
"Salsifis, surgelé, cru",,,,,,,,
"Oignon rouge, cru",153.0,,153.0,,,,,
"Oignon jaune, cru",159.0,,159.0,,,,,89.0
"Légumes pour potages, surgelés, crus",143.0,,143.0,,,,,
"Julienne ou brunoise de légumes, surgelée, crue",,,,,,,,
"Légumes pour ratatouille, surgelés",,,,,,,,
"Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons)",,,,,,,,
"Haricot plat, cru",,,,,,,,
"Épinard, jeunes pousses pour salades, cru",76.0,,76.0,,,,,
"Mesclun ou salade, mélange de jeunes pousses",,,,,2.0,,0.0,
"Tomate ronde, crue",,,,,,,,
"Asperge, verte, crue",,,,,,,,
"Chou romanesco ou brocoli à pomme, cru",,,,,,,,
"Asperge, blanche ou violette, pelée, crue",,,,,,,,
"Salicorne (Salicornia sp.), fraîche",,,,,,,,
"Salade sucrine, crue",,,,,,,,
"Salade feuille de chêne, crue",,,,,,,,
"Légumes pour couscous, surgelés, crus",195.0,,195.0,,,,,
"Tomate grappe, crue",,,,,,,,
"Salade verte, crue, sans assaisonnement",,,,,,,,
"Banane plantain, crue",,,,,,,,
"Chayote ou christophine ou chouchou, bouillie/cuite à l'eau",,,,,,,,
"Artichaut, cuit",,,,,,,,
"Asperge, bouillie/cuite à l'eau",,,,,,,,
"Aubergine, cuite",,,,,,,,
"Betterave rouge, cuite",180.0,,180.0,,,,,
"Bette ou blette, cuite",,,,,,,,
"Brocoli, cuit",,,,,,,,
"Carotte, appertisée, égouttée",92.0,,92.0,,,,,93.0
"Carotte, cuite",,,,,,,,93.0
"Champignon, tout type, appertisé, égoutté",104.0,,104.0,,,,,
"Chou de Bruxelles, cuit",,,,,,,,
"Chou vert, cuit",,,,,,,,
"Chou-fleur, cuit",,,,,,,,
"Coeur de palmier, appertisé, égoutté",,,,,,,,
"Courgette, pulpe et peau, cuite",,,,,,,,
"Céleri branche, cuit",,,,,,,,
"Céleri-rave, cuit",,,,,,,,
"Épinard, cuit",,,,,,,,
"Haricot mungo germé ou pousse de ""soja"", appertisé, égoutté",,,,,,,,
"Haricot vert, cuit",123.0,,123.0,,2.0,3.0,,
"Navet, cuit",,,,,,,,
"Oignon, cuit",,,,,,,,
"Petits pois, appertisés, égouttés",342.0,,342.0,,,,,
"Petits pois, cuits",,,,,,,,
"Poireau, cuit",,,,,,3.0,,92.0
"Potiron, appertisé, égoutté",,,,,,,,90.0
"Salsifis, cuit",,,,,,,,
"Tomate, pelée, appertisée, égouttée",,,,,,,,
"Maïs doux, en épis, cuit",,,,,,,,
"Macédoine de légumes, appertisée, égouttée",170.0,,170.0,,,,,87.0
"Épinard, appertisé, égoutté",,,,,,,,
"Haricot vert, appertisé, égoutté",,,,,,,,
"Haricot beurre, appertisé, égoutté",,,,,,,,
"Maïs doux, appertisé, égoutté",447.0,106.0,447.0,106.0,,,,
"Artichaut, appertisé, égoutté",,,,,,,,
"Tomate, concentré, appertisé",419.0,,419.0,,,,,72.0
"Haricot vert, surgelé, cuit",152.0,,152.0,,,,,
"Artichaut, cuit à la vapeur sous pression",195.0,,195.0,,,,,
"Asperge, appertisée, égouttée",,,,,,,,
"Chou de Bruxelles, appertisé, égoutté",,,,,,,,
"Céleri branche, appertisé, égoutté",,,,,,,,95.0
"Champignon de Paris ou champignon de couche, appertisé, égoutté",,,,,,,,
"Salsifis, appertisé, égoutté",,,,,,,,
"Poivron vert, cuit",,,,,,,,
"Poivron rouge, cuit",,,,,,7.0,,
"Petits pois et carottes, appertisés, égouttés",206.0,49.0,206.0,49.0,,,,
"Chou-rave, bouilli/cuit à l'eau",,,,,,,,
"Chou rouge, bouilli/cuit à l'eau",,,,,,,,
"Potiron, cuit",,,,,,,,92.0
"Champignon de Paris ou champignon de couche, bouilli/cuit à l'eau",120.0,,120.0,,,3.0,,
"Fenouil, bouilli/cuit à l'eau",,,,,,,,
"Épinard, surgelé, cuit",,,,,,,,
"Chou-fleur, surgelé, cuit",,18.0,,18.0,,,,94.0
"Petits pois, surgelés, cuits",,,,,,,,
"Champignon de Paris ou champignon de couche, sauté/poêlé, sans matière grasse",161.0,,161.0,,,,,
"Panais, cuit",286.0,,286.0,,,,,
Fondue de poireau,,,,,,0.0,,
"Courge doubeurre (butternut), pulpe, cuite",,,,,,,,
"Courge spaghetti, pulpe, cuite",,,,,,,,
"Artichaut, coeur, appertisé, égoutté",109.0,26.0,109.0,26.0,,,,
"Artichaut, fond, appertisé, égoutté",106.0,,106.0,,,,,
"Tétragone cornue, cuite",,,,,,1.0,,
"Rutabaga, cuit",,,,,,,,
"Tomate, pulpe, appertisée",110.0,,110.0,,,,,93.0
"Tomate, purée, appertisée",199.0,,199.0,,,,,
"Bambou, pousses, appertisées, égouttées",,,,,,,,95.0
"Brocoli, surgelé, cuit",,,,,,,,
"Chou de Bruxelles, surgelé, cuit",,,,,,,,
"Carotte, surgelée, cuite",137.0,,137.0,,,,,
"Champignon, lentin comestible ou shiitaké, cuit",258.0,,258.0,,,,,
"Petits pois et carottes, surgelés, cuits",,,,,,,,
"Pois mange-tout ou pois gourmand, bouilli/cuit à l'eau",128.0,,128.0,,,,,
"Chou frisé, cuit",,,,,,,,
"Chou chinois (pak-choi ou pé-tsai), cuit",,,,,,,,
"Cardon, cuit",,,,,,,,
"Tomate, pulpe et peau, bouillie/cuite à l'eau",,,,,,,,
"Pois mange-tout ou pois gourmands, cuits",,,,,,,,
"Échalote, cuite",,,,,,,,80.0
"Haricots verts, purée",,,,,,,,
"Légumes (3-4 sortes en mélange), purée",257.0,,257.0,,,,,86.0
"Brocoli, purée",,,,,,,,
"Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%)",,,,,,,,
"Carotte, purée",132.0,,132.0,,,,,
"Courgette, purée",,,,,,,,
"Tomate, double concentré, appertisé",392.0,,392.0,,,17.0,,
"Macédoine de légumes, surgelée, pré-cuite (à recuire)",228.0,,228.0,,,,,
"Poivron rouge, appertisé, égoutté",,,,,,,,
"Asperge blanche, bouillie/cuite à l'eau",,,,,,,,
"Céleri-rave, purée",,,,,,,,
"Petits pois, purée",,,,,,8.0,,
"Épinard, purée",,,,,,,,
"Tomate, pulpe et peau, rôtie/cuite au four",130.0,,130.0,,,,,92.0
"Chou romanesco ou brocoli à pomme, cuit",149.0,,149.0,,3.0,,,
"Potimarron, pulpe, cuit à l'étouffée",188.0,,188.0,,,,,
"Courge musquée, pulpe, cuite",129.0,,129.0,,,,,
"Carotte, purée cuisinée à la crème, préemballée",185.0,,185.0,,,,,
"Asperge verte, bouillie/cuite à l'eau",112.0,,112.0,,,,,
"Aubergine, pulpe et peau, rôtie/cuite au four",143.0,,143.0,,,,,91.0
"Bette ou blette, côte et feuille, bouillie/cuite à l'eau",70.0,,70.0,,,,,
"Brocoli, bouilli/cuit à l'eau, croquant",,,,,,,,
"Brocoli, bouilli/cuit à l'eau, fondant",,,,,,,,
"Brocoli, cuit à la vapeur",158.0,,158.0,,,,,
"Carotte, bouillie/cuite à l'eau, croquante",150.0,,150.0,,,,,
"Carotte, bouillie/cuite à l'eau, fondante",132.0,,132.0,,,,,
"Carotte, cuite à la vapeur",175.0,,175.0,,,,,
"Chou blanc, bouilli/cuit à l'eau",,,,,1.0,,,
"Chou de Bruxelles, bouilli/cuit à l'eau",190.0,,190.0,,,,,
"Chou rouge, cuit à l'étouffée",146.0,,146.0,,,,,
"Chou vert, bouilli/cuit à l'eau",90.0,,90.0,,,,,
"Chou-fleur, cuit à la vapeur",127.0,,127.0,,,,,
"Courgette, pulpe et peau, rôtie/cuite au four",,23.0,,23.0,,,,
"Céleri branche, cuit à l'étouffée",70.0,,70.0,,,,,
"Céleri rave, bouilli/cuit à l'eau",110.0,,110.0,,,,,91.0
"Endive, rôtie/cuite au four",,,,,,,,
"Fenouil, cuit à l'étouffée",,,,,,,,
"Haricot beurre, bouilli/cuit à l'eau",145.0,,145.0,,,,,
"Haricot vert, bouilli/cuit à l'eau",117.0,28.0,117.0,28.0,,,,
"Navet, bouilli/cuit à l'eau",,,,,,,,
"Oignon blanc ou jaune, sauté/poêlé sans matière grasse",169.0,,169.0,,,,,
"Oignon nouveau ou oignon frais ou cébette, sauté/poêlé sans matière grasse",115.0,,115.0,,,,,
"Oignon rouge, sauté/poêlé sans matière grasse",179.0,,179.0,,,,,
"Panais, cuit à l'étouffée",383.0,,383.0,,,,,
"Petits pois, bouillis/cuits à l'eau",338.0,,338.0,,,,,
"Poireau, bouilli/cuit à l'eau",114.0,,114.0,,,,,
"Poivron jaune, sauté/poêlé sans matière grasse",150.0,,150.0,,1.0,,,
"Poivron rouge, sauté/poêlé sans matière grasse",151.0,,151.0,,,,,
"Poivron vert, sauté/poêlé sans matière grasse",120.0,,120.0,,,,,
"Potimarron, pulpe, bouilli/cuit à l'eau",161.0,,161.0,,,,,
"Potiron, rôti/cuit au four",127.0,,127.0,,,,,
"Salsifis, bouilli/cuit à l'eau",243.0,,243.0,,,,,
"Tomate, rôtie/cuite au four",106.0,,106.0,,1.0,,,
"Échalote, sautée/poêlée sans matière grasse",282.0,,282.0,,2.0,,,
"Épinard, bouilli/cuit à l'eau",117.0,,117.0,,,,,
"Légumes pour couscous, cuits",,,,,,,,
Légume cuit (aliment moyen),183.0,,183.0,,,,,
"Crosne, cuit",215.0,,215.0,,,,,
"Gombo, fruit, cuit",,,,,,,,
"Carotte, déshydratée",,,,,,56.0,,4.0
"Oignon, séché",,,,,,75.0,,
"Tomate, séchée",,,,,,,,
"Champignon noir, séché",,,,,,,,
"Champignon, lentin comestible ou shiitaké, séché",1330.0,316.0,1330.0,316.0,,,,
"Tomate, séchée, à l'huile",779.0,187.0,779.0,187.0,,,,
"Banane jaune, pulpe, cuite à la vapeur, prélevée à la Martinique",,,,,,,,
"Chips de giraumon (variété locale), pulpe, prélevé à la Martinique",,,,,,,,
"Chips de giraumon (variété phoenix), pulpe, prélevé à la Martinique",,,,,,,,
"Chou dur ou chou caraïbe, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,
"Christophine à peau blanche, pulpe, cuite à la vapeur, prélevée à la Martinique",,,,,,,,
"Christophine à peau verte, pulpe, cuite à la vapeur, prélevée à la Martinique",,,,,,,,
"Christophine blanche, pulpe, appertisée, non égouttée, prélevée à la Martinique",,,,,,,,
"Christophine, pulpe, cuite à la vapeur, surgelée, prélevée à la Martinique",,,,,,,,
"Concombre, pulpe avec graines, cru, prélevé à la Martinique",,,,,,,,
"Concombre, pulpe, cru, prélevé à la Martinique",,,,,,,,
"Cresson, feuille, cru, prélevé à la Martinique",,,,,,,,95.0
"Dachine, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,
"Farine de pulpe de patate douce, prélevée à la Martinique",,,,,,,,
"Fruit à pain, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,
"Giraumon (variété locale), pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,
"Giraumon (variété locale), pulpe, cuit à la vapeur, surgelé, prélevé à la Martinique",,,,,,,,
"Giraumon (variété locale), pulpe, râpé, cru, prélevé à la Martinique",,,,,,,,
"Giraumon (variété phoenix), pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,
"Giraumon (variété phoenix), pulpe, râpé, cru, prélevé à la Martinique",,,,,,,,
"Giraumon (variété phoenix), pulpe, surgelé, cuit à la vapeur, prélevé à la Martinique",,,,,,,,
"Gombo, entier, appertisé, non égoutté, prélevé à la Martinique",,,,,,,,
"Gombo, entier, cuit à la vapeur, prélevé à la Martinique",,,,,,,,
"Gombo, pulpe, blanchi, surgelé, prélevé à la Martinique",,,,,,,,
"Igname cousse-couche, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,
"Igname jaune, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,
"Igname saint martin, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,
"Topinambour, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,
"Kamanioc, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,0.0,
"Massissi, pulpe, cru, prélevé à la Martinique",,,,,,,,
"Papaye, pulpe, crue, prélevée à la Martinique",,,,,,,,
"Papaye, pulpe, cuite à la vapeur, prélevée à la Martinique",,,,,,,0.0,
"Patate douce, pulpe, blanchie, surgelée, prélevée à la Martinique",,,,,,,,
"Patate douce, pulpe, cuite à la vapeur, prélevée à la Martinique",,,,,,,,
"Pois d'angole, entier, cuit à la vapeur, prélevé à la Martinique",,,,,,,,
"Ti nain, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,
"Tomate, entière, crue, prélevée à la Martinique",,,,,,,,
"Brèdes chou de Chine ou bok choy ou pak choï, tiges et feuilles, cuites à la vapeur, prélevées à La Réunion (Brassica rapa subsp. Chinensis)",,,,,,,,
"Chayote ou christophine ou chouchou, pulpe avec pépins, cuite à la vapeur, prélevée à La Réunion (Sechium edule)",,,,,,,,
"Tapioca ou Perles du Japon, cru",1500.0,354.0,1500.0,354.0,,,,11.0
"Pomme de terre, sans peau, rôtie/cuite au four",390.0,,390.0,,,,,
"Pomme de terre, bouillie/cuite à l'eau",341.0,,341.0,,,,,
"Chips de pommes de terre nature ou aromatisées, standard",2270.0,545.0,2270.0,545.0,,,,
"Pomme de terre nouvelle, bouillie/cuite à l'eau",,,,,,,,
"Pomme de terre, sans peau, crue",341.0,,341.0,,,,,79.0
"Pomme de terre, appertisée, égouttée",253.0,,253.0,,,,,
"Pomme de terre noisette, surgelée, crue",760.0,181.0,760.0,181.0,,,,61.0
"Pomme de terre vapeur, sous vide",312.0,,312.0,,,,,
"Pomme de terre poêlée, avec matière grasse",574.0,137.0,574.0,137.0,,,,
"Pomme de terre, flocons déshydratés, au lait ou à la crème",1570.0,371.0,1570.0,372.0,,,,
"Pomme de terre, purée à base de flocons, reconstituée avec lait entier, matière grasse",409.0,,409.0,,,,,
"Pomme de terre, purée, avec lait et beurre, non salée",374.0,,374.0,,,,,77.0
"Pomme de terre, purée à base de flocons, reconstituée avec lait demi-écrémé et eau, non salée",284.0,,284.0,,,,,
"Pomme de terre dauphine, surgelée, crue",1190.0,285.0,1190.0,285.0,,,,49.0
"Pomme de terre dauphine, surgelée, cuite",1260.0,302.0,1260.0,302.0,,,,
"Pomme de terre, flocons déshydratés, nature",1530.0,361.0,1530.0,361.0,,,,
"Pomme de terre nouvelle, crue",324.0,,324.0,,,,,
"Potatoes ou Wedges ou Quartiers de pommes de terre épicés, surgelées, cuites",732.0,174.0,732.0,174.0,,,,
"Pomme de terre, rôtie/cuite au four",379.0,,379.0,,,,,
"Pomme de terre sautée/rissolée, pré-frite, surgelée, cuite",654.0,156.0,654.0,156.0,,23.0,,
"Pomme de terre de conservation, sans peau, bouillie/cuite à l'eau",322.0,,322.0,,,,,
"Pomme de terre primeur, sans peau, bouillie/cuite à l'eau",303.0,,303.0,,,,,
"Frites de pommes de terre, surgelées, rôties/cuites au four",896.0,213.0,896.0,213.0,,,,
"Frites de pommes de terre, surgelées, cuites en friteuse",1200.0,285.0,1200.0,285.0,,,,
"Pomme de terre duchesse, surgelée, cuite",913.0,218.0,913.0,218.0,,,,
"Pomme de terre noisette, surgelée, cuite",804.0,191.0,804.0,191.0,,,,
Pomme de terre sautée/poêlée à la graisse de canard,889.0,213.0,889.0,213.0,,,,
"Chips de pommes de terre nature ou aromatisées, à l'ancienne",2370.0,570.0,2370.0,570.0,,,,
"Chips de pommes de terre et assimilés nature ou aromatisées, allégées en matière grasse",1940.0,463.0,1940.0,463.0,,,,
Rostis ou Galette de pomme de terre,760.0,182.0,760.0,182.0,,,,
"Pomme de terre duchesse, surgelée, crue",745.0,178.0,745.0,178.0,,,,
"Pomme de terre sautée/ rissolée, pré-frites, surgelée, crue",569.0,135.0,569.0,135.0,,,,
"Frites de pommes de terre, surgelées, préfrites, pour cuisson rôtie/ au four",648.0,154.0,648.0,154.0,,,,
"Frites de pommes de terre, surgelées, préfrites, pour cuisson micro-ondes",1070.0,254.0,1070.0,254.0,,34.0,,
"Frites de pommes de terre, surgelées, préfrites, pour cuisson en friteuse",1020.0,244.0,1020.0,244.0,,,,
"Pomme de terre, purée (aliment moyen)",385.0,,385.0,,,,,
"Pomme de terre, cuite (aliment moyen)",393.0,,393.0,,,,,
"Patate douce, crue",365.0,,365.0,,,,,
"Patate douce, cuite",265.0,,265.0,,,,,78.0
"Patate douce, purée, cuisinée à la crème",334.0,,334.0,,,,2.0,
"Topinambour, cuit",346.0,,346.0,,,16.0,,
"Topinambour, cru",257.0,,257.0,,,,,
"Banane plantain, cuite",529.0,125.0,529.0,125.0,,,,
"Taro, tubercule, cru",453.0,107.0,453.0,107.0,,,,
"Taro, tubercule, cuit",555.0,131.0,555.0,131.0,,,,
"Igname, épluchée, crue",469.0,111.0,469.0,111.0,,,,
"Igname, épluchée, bouillie/cuite à l'eau",463.0,109.0,463.0,109.0,,,,
"Manioc, racine crue",664.0,157.0,664.0,157.0,,,,
"Manioc, racine cuite",561.0,132.0,561.0,132.0,,32.0,,
"Fruit à pain, cru",444.0,105.0,444.0,105.0,,,,
"Haricot coco, bouilli/cuit à l'eau",547.0,131.0,547.0,131.0,,,,
"Fève, bouillie/cuite à l'eau",350.0,,350.0,,,,,
"Haricot blanc, bouilli/cuit à l'eau",469.0,112.0,469.0,112.0,,12.0,,
